mode,episode,avg_wait,total_processed,total_remaining
fixed,1,4.99,182,6
fixed,2,5.15,185,8
fixed,3,5.69,193,6
fixed,4,5.72,186,7
fixed,5,5.83,213,5
fixed,6,5.50,193,5
fixed,7,5.73,191,8
fixed,8,5.66,213,5
fixed,9,5.26,197,7
fixed,10,5.52,189,6
fixed,11,5.07,196,4
fixed,12,5.16,188,6
fixed,13,5.90,203,5
fixed,14,5.73,194,4
fixed,15,5.20,204,5
fixed,16,5.29,188,8
fixed,17,5.31,195,3
fixed,18,5.88,192,3
fixed,19,5.53,185,7
fixed,20,4.84,191,6
random,1,46.77,147,41
random,2,38.20,159,34
random,3,34.99,144,55
random,4,65.08,122,71
random,5,42.43,141,77
random,6,42.09,138,60
random,7,33.21,161,38
random,8,61.24,120,98
random,9,82.52,113,91
random,10,32.02,155,40
random,11,57.21,132,68
random,12,49.21,146,48
random,13,59.41,141,67
random,14,39.21,145,53
random,15,41.84,145,64
random,16,75.00,113,83
random,17,52.73,143,55
random,18,34.78,146,49
random,19,56.56,127,65
random,20,56.45,143,54
qlearning,1,4.51,183,5
qlearning,2,4.55,188,5
qlearning,3,7.65,197,2
qlearning,4,4.51,188,5
qlearning,5,6.40,213,5
qlearning,6,4.61,194,4
qlearning,7,3.66,192,7
qlearning,8,10.37,202,16
qlearning,9,17.60,201,3
qlearning,10,4.29,191,4
qlearning,11,4.96,199,1
qlearning,12,3.73,187,7
qlearning,13,7.39,203,5
qlearning,14,4.05,194,4
qlearning,15,9.34,203,6
qlearning,16,7.57,184,12
qlearning,17,7.84,192,6
qlearning,18,4.93,190,5
qlearning,19,3.70,184,8
qlearning,20,4.73,195,2
